Category: All categories

Week,grilling: (United States),meal prep: (United States),air fryer: (United States)
2023-03-26,28,23,13
2023-04-02,31,22,14
2023-04-09,37,22,14
2023-04-16,39,23,14
2023-04-23,46,21,14
2023-04-30,50,20,13
2023-05-07,56,23,14
2023-05-14,69,22,13
2023-05-21,71,21,15
2023-05-28,81,22,15
2023-06-04,81,21,14
2023-06-11,88,23,15
2023-06-18,89,22,15
2023-06-25,93,22,13
2023-07-02,99,21,14
2023-07-09,94,23,13
2023-07-16,86,23,14
2023-07-23,89,21,14
2023-07-30,83,20,14
2023-08-06,82,20,14
2023-08-13,66,20,13
2023-08-20,60,20,15
2023-08-27,61,22,14
2023-09-03,49,23,13
2023-09-10,48,23,14
2023-09-17,40,22,15
2023-09-24,35,22,15
2023-10-01,32,23,15
2023-10-08,27,22,15
2023-10-15,25,22,17
2023-10-22,22,23,21
2023-10-29,21,21,23
2023-11-05,20,23,29
2023-11-12,19,22,37
2023-11-19,20,23,43
2023-11-26,20,23,56
2023-12-03,18,28,61
2023-12-10,18,32,66
2023-12-17,18,41,68
2023-12-24,17,42,64
2023-12-31,19,55,61
2024-01-07,18,58,55
2024-01-14,18,59,47
2024-01-21,18,55,39
2024-01-28,17,50,31
2024-02-04,18,47,25
2024-02-11,20,39,19
2024-02-18,19,32,18
2024-02-25,21,26,15
2024-03-03,23,25,15
2024-03-10,24,23,13
2024-03-17,25,22,14
2024-03-24,27,24,14
2024-03-31,30,22,15
2024-04-07,36,22,14
2024-04-14,41,23,15
2024-04-21,43,21,13
2024-04-28,53,23,15
2024-05-05,56,20,14
2024-05-12,63,23,13
2024-05-19,68,23,14
2024-05-26,72,21,13
2024-06-02,79,20,13
2024-06-09,83,21,15
2024-06-16,96,23,14
2024-06-23,97,20,14
2024-06-30,94,20,14
2024-07-07,100,23,13
2024-07-14,90,23,14
2024-07-21,88,22,14
2024-07-28,88,20,15
2024-08-04,75,23,14
2024-08-11,68,21,15
2024-08-18,66,23,13
2024-08-25,61,23,13
2024-09-01,53,21,13
2024-09-08,47,23,15
2024-09-15,40,22,13
2024-09-22,37,21,14
2024-09-29,33,20,15
2024-10-06,28,22,16
2024-10-13,27,21,17
2024-10-20,22,23,22
2024-10-27,23,22,26
2024-11-03,21,22,28
2024-11-10,19,22,34
2024-11-17,19,22,43
2024-11-24,19,26,54
2024-12-01,18,26,57
2024-12-08,17,30,61
2024-12-15,18,40,62
2024-12-22,17,45,59
2024-12-29,18,56,57
2025-01-05,17,55,53
2025-01-12,17,64,42
2025-01-19,17,62,39
2025-01-26,18,49,32
2025-02-02,17,49,25
2025-02-09,19,37,22
2025-02-16,21,33,18
2025-02-23,22,28,16
2025-03-02,23,23,15
2025-03-09,24,22,15
2025-03-16,27,23,14
2025-03-23,28,20,14
2025-03-30,33,23,13
2025-04-06,35,22,13
2025-04-13,42,22,14
2025-04-20,45,22,14
2025-04-27,52,20,13
2025-05-04,58,23,14
2025-05-11,67,23,13
2025-05-18,69,23,14
2025-05-25,78,22,14
2025-06-01,80,23,14
2025-06-08,89,21,14
2025-06-15,95,21,14
2025-06-22,98,20,14
2025-06-29,94,20,14
2025-07-06,95,23,13
2025-07-13,88,21,15
2025-07-20,94,22,13
2025-07-27,82,22,14
2025-08-03,79,23,14
2025-08-10,73,23,14
2025-08-17,65,20,13
2025-08-24,56,23,13
2025-08-31,48,21,15
2025-09-07,48,22,14
2025-09-14,39,22,15
2025-09-21,33,23,14
2025-09-28,33,22,15
2025-10-05,28,22,17
2025-10-12,25,22,18
2025-10-19,24,22,19
2025-10-26,22,21,26
2025-11-02,20,21,32
2025-11-09,20,23,37
2025-11-16,18,23,44
2025-11-23,18,24,56
2025-11-30,19,28,61
2025-12-07,18,30,66
2025-12-14,19,40,63
2025-12-21,17,44,60
2025-12-28,17,49,55
2026-01-04,18,60,52
2026-01-11,19,57,47
2026-01-18,18,59,38
2026-01-25,17,55,31
2026-02-01,18,42,23
2026-02-08,18,37,21
2026-02-15,19,30,18
2026-02-22,22,28,15
2026-03-01,21,26,14
2026-03-08,22,21,13
2026-03-15,24,23,14
2026-03-22,29,21,13
2026-03-29,30,20,13
2026-04-05,34,20,13
2026-04-12,39,21,15
2026-04-19,42,23,14
2026-04-26,51,22,15
2026-05-03,60,21,13
2026-05-10,64,21,13
2026-05-17,67,22,13
2026-05-24,82,20,15
2026-05-31,86,21,15
2026-06-07,91,23,14
2026-06-14,88,22,14
2026-06-21,94,21,14
2026-06-28,95,21,13
2026-07-05,91,20,14
2026-07-12,95,23,15
2026-07-19,83,22,14
2026-07-26,84,22,14
2026-08-02,80,23,13
